mech_name|tonnage|variant
Awesome (AWS)|80|AWS-8Q
Awesome (AWS)|80|AWS-8R
Awesome (AWS)|80|AWS-8T
Awesome (AWS)|80|AWS-8V
Awesome (AWS)|80|AWS-9M
Pretty Baby|80|AWS-PB
Charger (CGR)|80|CGR-1A1
Charger (CGR)|80|CGR-1A5
Charger (CGR)|80|CGR-3K
Number Seven|80|CGR-N7
Hatamoto (HTM)|80|HTM-27T
Hatamoto (HTM)|80|HTM-27W
Hatamoto (HTM)|80|HTM-28TR
Shugo|80|HTM-SG
Victor (VTR)|80|VTR-9A1
Victor (VTR)|80|VTR-9B
Victor (VTR)|80|VTR-9K
Victor (VTR)|80|VTR-9S
Dragon Slayer|80|VTR-DS
Victor (VTR)|80|VTR-9A1(L)
Victor (VTR)|80|VTR-9A1(L)
Zeus (ZEU)|80|ZEU-5S
Zeus (ZEU)|80|ZEU-6S
Zeus (ZEU)|80|ZEU-6T
Zeus (ZEU)|80|ZEU-9S
Zeus (ZEU)|80|ZEU-9S2
Skokomish|80|ZEU-SKO
Zeus (ZEU)|80|ZEU-6S(R)
Zeus (ZEU)|80|ZEU-6T(S)
Zeus (ZEU)|80|ZEU-9S2(L)
Battlemaster (BLR)|85|BLR-1D
Battlemaster (BLR)|85|BLR-1G
Battlemaster (BLR)|85|BLR-1S
Battlemaster (BLR)|85|BLR-2C
Battlemaster (BLR)|85|BLR-3M
Battlemaster (BLR)|85|BLR-3S
Hellslinger|85|BLR-HS
Battlemaster (BLR)|85|BLR-1G(P)
Stalker (STK)|85|STK-3F
Stalker (STK)|85|STK-3FB
Stalker (STK)|85|STK-3H
Stalker (STK)|85|STK-4N
Stalker (STK)|85|STK-5M
Stalker (STK)|85|STK-5S
Misry|85|STK-M
Stalker (STK)|85|STK-3FB(L)
Cyclops (CP)|90|CP-10-Q
Cyclops (CP)|90|CP-10-Z
Cyclops (CP)|90|CP-11-A
Cyclops (CP)|90|CP-11-A-DC
Cyclops (CP)|90|CP-11-P
Sleipnir|90|CP-S
Cyclops (CP)|90|CP-11-A(S)
Highlander (HGN)|90|HGN-732
Highlander (HGN)|90|HGN-732B
Highlander (HGN)|90|HGN-733
Highlander (HGN)|90|HGN-733C
Highlander (HGN)|90|HGN-733P
Heavy Metal|90|HGN-HM
Mauler (MAL)|90|MAL-1P
Mauler (MAL)|90|MAL-1R
Mauler (MAL)|90|MAL-2P
Mauler (MAL)|90|MAL-MX90
Knockout|90|MAL-KO
Mauler (MAL)|90|MAL-1R(R)
Banshee (BNC)|95|BNC-3E
Banshee (BNC)|95|BNC-3M
Banshee (BNC)|95|BNC-3S
La Malinche|95|BNC-LM
La Malinche|95|BNC-SR
Nightstar (NSR)|95|NSR-10P
Nightstar (NSR)|95|NSR-9FC
Nightstar (NSR)|95|NSR-9J
Nightstar (NSR)|95|NSR-9P
Nightstar (NSR)|95|NSR-9S
Wolf Phoenix|95|NSR-WP
Nightstar (NSR)|95|NSR-9J(S)
Annihilator (ANH)|100|ANH-1A
Annihilator (ANH)|100|ANH-1E
Annihilator (ANH)|100|ANH-1P
Annihilator (ANH)|100|ANH-1X
Annihilator (ANH)|100|ANH-2A
Mean Baby|100|ANH-MB
Annihilator (ANH)|100|ANH-2A(S)
Atlas (AS7)|100|AS7-D
Atlas (AS7)|100|AS7-D-DC
Atlas (AS7)|100|AS7-K
Atlas (AS7)|100|AS7-RS
Atlas (AS7)|100|AS7-S
Boar's Head|100|AS7-BH
Boar's Head|100|AS7-KR
Atlas (AS7)|100|AS7-D(F)
Atlas (AS7)|100|AS7-S(L)
Fafnir (FNR)|100|FNR-5
Fafnir (FNR)|100|FNR-5B
Fafnir (FNR)|100|FNR-5E
Fafnir (FNR)|100|FNR-6R
Fafnir (FNR)|100|FNR-6U
Wrat|100|WRATH
King Crab (KGC)|100|KGC-000
King Crab (KGC)|100|KGC-0000
King Crab (KGC)|100|KGC-000B
Kaiju|100|KGC-KJ
King Crab (KGC)|100|KGC-000(L)
King Crab (KGC)|100|KGC-000B(S)
Gargoyle (GAR)|80|GAR-PRIME
Gargoyle (GAR)|80|GAR-A
Gargoyle (GAR)|80|GAR-B
Gargoyle (GAR)|80|GAR-D
Gargoyle (GAR)|80|GAR-E
Kin Wolf|80|GAR-KW
Gargoyle (GAR)|80|GAR-PRIME(I)
Warhammer IIC (WHM-IIC)|80|WHM-IIC
Warhammer IIC (WHM-IIC)|80|WHM-IIC-2
Warhammer IIC (WHM-IIC)|80|WHM-IIC-3
Warhammer IIC (WHM-IIC)|80|WHM-IIC-4
Warhammer IIC (WHM-IIC)|80|WHM-IIC-10
Maul|80|WHM-IIC-ML
Warhammer IIC (WHM-IIC)|80|WHM-IIC(S)
Marauder IIC (MAD-IIC)|85|MAD-IIC
Marauder IIC (MAD-IIC)|85|MAD-IIC-8
Marauder IIC (MAD-IIC)|85|MAD-IIC-A
Marauder IIC (MAD-IIC)|85|MAD-IIC-B
Marauder IIC (MAD-IIC)|85|MAD-IIC-C
Marauder IIC (MAD-IIC)|85|MAD-IIC-D
Scorch|85|MAD-IIC-SC
